Relabeled Script,Script,Subject ID,Sex,Age - Month,Age - Day,Age Decimal,Preferred Object,PO Starting Location,PO Test Side,PO Test Order,Video Quality,Habituation 1,Habituation 2,Habituation 3,Habituation 4,Habituation 5,Habituation 6,Habituation 7,Habituation 8,Habituation 9,Habituation 10,Habituation 11,Habituation 12,Habituation 13,Habituation 14,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Device
1a,3,p31,F,3,6,3.2,Ball,R,L,1,5,45.82,29.74,7.69,6.42,17.01,20.76,11.97,1.23,,,,,,,1.27,1.6,1.47,1.41,1.97,2.16,Laptop
8a,7,p24,F,3,9,3.3,Bear,R,L,1,4,0.69,4.54,3.23,4.12,11.36,0.63,11.62,1.41,5.44,2.87,5.31,1.03,,,1.51,4.87,1.72,1.72,1.02,4.08,Laptop
7b,3,p35,F,3,18,3.6,Ball,R,L,1,5,13.64,15.09,29.39,2.1,1.09,8.88,,,,,,,,,3.21,3.52,7.92,14.35,16.42,6.25,Laptop
5b,2,p34,M,3,22,3.733333333,Ball,L,R,2,5,57.29,25.63,41.02,8.12,39.6,20.86,6.23,1.15,,,,,,,16.07,4.71,5.17,2.85,3.24,1.12,Laptop
8c,2,p42,M,3,0,3,Ball,L,R,2,5,51.76,82.18,21.5,10.69,27.03,13.36,,,,,,,,,62.7,115.63,50.81,4.17,80.74,18.61,Laptop
1c,4,p47,M,3,0,3,Ball,R,L,2,5,63.13,7.11,9.16,11.48,7.59,8.68,,,,,,,,,3.57,18.13,61.71,45.61,4.24,9.06,Laptop
4c,8,p41,M,3,7,3.233333333,Bear,R,L,2,5,117.49,45.34,31.34,3.79,12.64,11.09,,,,,,,,,9.29,4.78,24.04,7.35,3.9,0.05,Laptop
5a,4,p27,M,3,7,3.233333333,Ball,R,L,2,3,7.14,3.46,15.53,11.71,4.85,3.88,10.53,1.75,2.32,4.88,,,,,6.04,,18.82,4.18,5.5,6.11,Laptop
2a,2,p26,M,3,28,3.933333333,Ball,L,R,2,5,55.63,34.43,7.8,8.3,12.06,4.64,,,,,,,,,,4.58,4.68,7.01,2.47,3.2,Laptop with monitor
6a,1,p28,F,3,5,3.166666667,Ball,L,R,1,5,18.96,59.73,54.45,0.79,0.84,10.11,36.39,,,,,,,,10.66,7.66,14.2,5.51,5.99,5.91,Laptop
7a,6,p32,M,3,23,3.766666667,Bear,L,R,2,5,47.43,10.35,19.07,7.83,6.33,6.33,,,,,,,,,6.12,10.28,6.99,9.22,16.18,6.51,Laptop
4b,5,p33,M,3,4,3.133333333,Bear,L,R,1,5,17.7,7.15,5.2,5.85,8.62,7.18,3.08,12.47,4.01,4.38,2.63,,,,18.05,15.78,17.13,10.15,3.47,4.39,Laptop
3a,8,p25,M,4,0,4,Bear,R,L,2,5,36.39,70.75,5.91,25.55,42.01,10.64,0.84,,,,,,,,14.88,1.36,22.45,6.56,,,Laptop
3b,1,p38,M,3,20,3.666666667,Ball,L,R,1,4,49.86,1.56,18.21,3.28,4.74,13.29,,,,,,,,,11.3,3.73,3.5,10.63,8.01,8.44,Laptop
2b,8,p30,F,3,24,3.8,Bear,R,L,2,5,8.11,1.83,5.94,2.25,4.81,5.4,3.32,0.81,2.73,,,,,,4.41,3.04,3.66,3.81,2.87,0.48,Laptop
7c,1,p43,M,3,5,3.166666667,Ball,L,R,1,5,12.16,18.65,65.9,3.81,6.82,28.76,,,,,,,,,13.4,19.54,1.54,2,,6.93,Laptop
5c,7,p44,F,3,30,4,Bear,R,L,1,4,,29.83,12.58,40.79,115.2,19.25,28.27,11.26,10.77,30.59,8.26,104.71,58.92,17.62,41.67,6.15,7.73,7.79,5.43,8.65,Laptop
6b,7,p39,M,3,8,3.266666667,Bear,R,L,1,5,70.81,22.94,6.52,15.3,20.19,4.37,,,,,,,,,16.8,8.92,3.71,3.29,11.79,18.02,Laptop
2c,6,p40,F,3,6,3.2,Bear,L,R,2,4.5,49.52,12.32,6.05,8.25,3.16,10.63,,,,,,,,,6.48,21.66,18.97,7.71,9.04,3.01,Laptop
8b,6,p37,M,3,5,3.166666667,Bear,L,R,2,5,27.54,10.53,8.06,1.94,2.16,7.62,,,,,,,,,44.34,6.49,17.75,5.98,6.23,4.9,Laptop
6c,3,p46,M,3,18,3.6,Ball,R,L,1,4,15.23,7.91,4.29,24.21,38.28,1.42,10.75,1.96,1.41,0.23,,,,,2.71,9.17,2.95,5.23,6.18,4.11,Laptop
4a,5,p29,F,3,6,3.2,Bear,L,R,1,5,86.85,92.73,26.03,32.23,10.82,4.1,,,,,,,,,6.12,28.63,6.81,10.12,7.94,11.69,Laptop
3c,5,p43,M,3,3,3.1,Bear,L,R,1,3.5,9.44,9.35,6.98,1.09,23.38,15.66,19.41,7.39,8.03,8.64,58.33,48.84,7.55,37.17,9.86,45.84,8.12,50.76,16.78,5.77,Desktop
1b,4,p36,F,3,22,3.733333333,Ball,R,L,2,4,8.17,1.25,7.34,2.42,4.64,8.53,3.96,2.36,2.52,1.68,,,,,3.09,2.56,6.71,2.96,6.78,4.85,Laptop
